Placemark ID,Land Use ID,Name,Current LUB District,Change of Land Use District,Current Permitted Use,Current Discretionary Use,Current Max FAR,Current Max Height,Current Min Landscaping Requirement,Current Min Front Yard Setback,Current Min Rear Yard Setback,Current Min Side Yard Setback,Column1,Proposed LUB District,Proposed Residential Group,Proposed Permitted Use,Proposed Discretionary Use,Proposed Max FAR,Proposed Max Height,Proposed Min Landscaping Requirement,Proposed Min Front Yard Setback,Proposed Min Rear Yard Setback,Proposed Min Side Yard Setback
ID_00011,2,Coyote Lane area,RBA: Banff Avenue District ,Same ,"Apartment housing
Fourplex housing","Group homes
Stacked row housing
Row housing
Duplex housing
Single detached housing
Accessory dwelling",1.3,11.5m,30%,4m,4.5m,2m,,RBA: Banff Avenue District ,High,"Accessory dwelling housing
Apartment housing
Fourplex housing
Multiplex housing","Assisted living housing            
Duplex housing                       
Single detached housing              
Triplex Housing",1.6,14.5m,30%,4m,2m,1.8m
ID_00025,9,East side of Banff Ave,RBA: Banff Avenue District ,Same ,"Apartment housing
Fourplex housing","Group homes
Stacked row housing
Row housing
Duplex housing
Single detached housing
Accessory dwelling",1.3,11.5m,30%,4m,4.5m,2m,,RBA: Banff Avenue District ,High ,"Accessory dwelling housing
Apartment housing
Fourplex housing
Multiplex housing","Assisted living housing            
Duplex housing                       
Single detached housing              
Triplex Housing",1.6,14.5m,30%,4m,2m,1.8m
ID_00046,17,Banff Springs residential,RBS: Banff Springs District ,Same ,"Apartment housing
Stacked row housing
Row housing",,Not specified,14m,40%,9m,3.5m,4.5m,,RBS: Banff Springs District ,High,"Accessory dwelling housing
Apartment housing
Fourplex housing
Multiplex housing","Assisted living housing            
Duplex housing                       
Single detached housing              
Triplex Housing",1.6,14.5m,30%,4m,2m,1.8m
ID_00040,13,Cave Ave area,RCA: Cave Avenue District,Same,"Duplex housing
Triplex housing
Fourplex housing","Row housing
Single detached housing
Stacked row housing
Accessory dwelling",0.6,9m,50%,6.0m,3.0m,2.4m,,RCA: Cave Avenue District,Medium,"Accessory dwelling housing
Fourplex housing
Multiplex housing       
Triplex housing","Apartment Housing 
Assisted living housing
Duplex Housing
Single detached housing",1,11.5m,35%,4m,2m,1.8m
ID_00021,6,South part of Muskrat,RCM: Central Muskrat District,Same,"Apartment housing
Fourplex housing
Stacked row housing","Duplex housing
Triplex housing
Group homes
Row housing
Single detached housing
Senior citizen housing   
Accessory dwelling",1.3,11m/9m,40%,4m,4.5m,1.8m,,RCM: Central Muskrat District,High,"Accessory dwelling housing
Apartment housing
Fourplex housing
Multiplex housing","Assisted living housing            
Duplex housing                       
Single detached housing              
Triplex Housing",1.6,14.5m,30%,4m,2m,1.8m
ID_00082,30,Cougar St between Fox and south leg of Marmot Cr as well as Whiskey Jack Cr,RCN: Cougar North District,Change, Row housing,"Apartment housing
Stacked row housing",0.5,9m,40%,Not specified,Not specified,Not specified,,RCR: Cougar/ Rabbit District,High,"Accessory dwelling housing
Apartment housing
Fourplex housing
Multiplex housing","Assisted living housing            
Duplex housing                       
Single detached housing              
Triplex Housing",1.6,14.5m,30%,4m,2m,1.8m
ID_00078,28,Cougar St and south of north leg of Marmot Cr,RCN: Cougar North District,Change,Row housing,"Apartment housing
Stacked row housing",0.5,9m,40%,Not specified,Not specified,Not specified,,RCR: Cougar/ Rabbit District,High,"Accessory dwelling housing
Apartment housing
Fourplex housing
Multiplex housing","Assisted living housing            
Duplex housing                       
Single detached housing              
Triplex Housing",1.6,14.5m,30%,4m,2m,1.8m
ID_00084,31,Porcupine and Pika,RCN: Cougar North District,Same,Row housing,"Apartment housing
Stacked row housing",0.5,9m,40%,Not specified,Not specified,Not specified,,RCN:Cougar North District,Medium,"Accessory dwelling housing
Fourplex housing
Multiplex housing       
Triplex housing","Apartment Housing 
Assisted living housing
Duplex Housing
Single detached housing",1,11.5m,35%,4m,2m,1.8m
ID_00074,26,Marten St from Wolf to halfway between Fox and Rabbit,RCR: Cougar/ Rabbit District,Same,"Apartment housing
Fourplex housing
Row housing
Stacked row housing","Duplex housing
Triplex housing
Group homes
Senior citizen housing
Single detached housing
Accessory dwelling",1.2,11m/9m,40%,4m,4.5m,2m,,RCR: Cougar/ Rabbit District,High,"Accessory dwelling housing
Apartment housing
Fourplex housing
Multiplex housing","Assisted living housing            
Duplex housing                       
Single detached housing              
Triplex Housing",1.6,14.5m,30%,4m,2m,1.8m
ID_00020,5,Southeast of YWCA,RGA: Glen Avenue District,Same,"Duplex housing
Row housing","Single detached housing
Fourplex housing
Stacked row housing
Accessory dwelling",0.5,10m,30%,6 or 3m,Not specified,2m,,RGA: Glen Avenue District,Medium,"Accessory dwelling housing
Fourplex housing
Multiplex housing       
Triplex housing","Apartment Housing 
Assisted living housing
Duplex Housing
Single detached housing",1,11.5,35%,4m,2m,1.8m
